Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Source
https://github.com/beryx/badass-runtime-plugin,862f6ea5290ac09c29bdc455714ff071f3705336,.,"org.beryx.runtime.RuntimePluginSpec.""if modules=[java.naming], then buildSucceeds=true and runSucceeds=false with Gradle 7.0""",[gradle]PatternSpecFactory
https://github.com/beryx/badass-runtime-plugin,862f6ea5290ac09c29bdc455714ff071f3705336,.,"org.beryx.runtime.RuntimePluginSpec.""if modules=[], then buildSucceeds=true and runSucceeds=true with Gradle 7.6""",[gradle]PatternSpecFactory
https://github.com/beryx/badass-runtime-plugin,862f6ea5290ac09c29bdc455714ff071f3705336,.,"org.beryx.runtime.SuggestModulesSpec.""should suggest the correct list of modules",[gradle]PatternSpecFactory
https://github.com/bhuemer/gbt,e8b13f62ef8e544200b16892306a874c4cf6bf8b,.,com.github.bhuemer.gbt.ScalaPluginTest.compileDottyProjects,[gradle]PatternSpecFactory
https://github.com/bhuemer/gbt,e8b13f62ef8e544200b16892306a874c4cf6bf8b,.,com.github.bhuemer.gbt.ScalaPluginTest.compileScalaClassFilesAreIncludedInJarFiles,[gradle]PatternSpecFactory
https://github.com/bhuemer/gbt,e8b13f62ef8e544200b16892306a874c4cf6bf8b,.,com.github.bhuemer.gbt.ScalaPluginTest.compileScalaProducesClassFiles,[gradle]PatternSpecFactory
https://github.com/bhuemer/gbt,e8b13f62ef8e544200b16892306a874c4cf6bf8b,.,com.github.bhuemer.gbt.ScalaPluginTest.compileScalaWorksWithScala213,[gradle]PatternSpecFactory
https://github.com/bhuemer/gbt,e8b13f62ef8e544200b16892306a874c4cf6bf8b,.,com.github.bhuemer.gbt.ScalaPluginTest.compileScalaWorksWithScala301,[gradle]PatternSpecFactory
https://github.com/bhuemer/gbt,e8b13f62ef8e544200b16892306a874c4cf6bf8b,.,com.github.bhuemer.gbt.ScalaPluginTest.compileTestScalaDependsOnCompileScala,[gradle]PatternSpecFactory
https://github.com/bhuemer/gbt,e8b13f62ef8e544200b16892306a874c4cf6bf8b,.,com.github.bhuemer.gbt.ScalaPluginTest.compileWithoutScalaLibrary,[gradle]PatternSpecFactory
https://github.com/bhuemer/gbt,e8b13f62ef8e544200b16892306a874c4cf6bf8b,.,com.github.bhuemer.gbt.ScalaPluginTest.compileWithWrongScalaVersion,[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.BuildTrustStoreTaskTest.""output folder is generated""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.CheckCertsValidationTaskTest.""certificate bundle is supported""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.CheckCertsValidationTaskTest.""certificate letsencrypt.pem is invalid""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.CheckCertsValidationTaskTest.""loading a corrupt certificate""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.CheckCertsValidationTaskTest.""loading a non-certificate""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.CheckCertsValidationTaskTest.""when all certificates are valid nothing happens""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.TrustStoreBuilderPluginTest.""buildTrustStore and checkCertificates tasks are included in lifecycle""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.TrustStoreBuilderPluginTest.""buildTrustStore task builds a TrustStore""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.TrustStoreBuilderPluginTest.""buildTrustStore task respects configuration (include)""",[gradle]PatternSpecFactory
https://github.com/chkpnt/truststorebuilder-gradle-plugin,8f2a40bf64ae487a15d40c51abeff447b795d7d0,.,"de.chkpnt.gradle.plugin.truststorebuilder.TrustStoreBuilderPluginTest.""buildTrustStore task respects configuration (inputDir)""",[gradle]PatternSpecFactory
